ABAGAIL,A124,1
ABBEY,A100,1
ABBY,A100,1
ABBE,A100,1
ABBIE,A100,1
ABBIGAIL,A124,1
ABBINA,A150,1
ABBOTT,A130,0
ABE,A100,0
ABEL,A140,0
ABERT,A163,0
ABIGALE,A124,1
ABIGAEL,A124,1
ABIGAIL,A124,1
ABINA,A150,1
ABINIA,A150,1
ABLE,A140,0
ABNER,A156,0
ABRAHAM,A165,0
ABRAHAN,A165,0
ABRAM,A165,0
ABSALOM,A124,0
ABY,A100,1
AFFIE,A100,0
AFFIE,A100,1
AFFY,A100,0
AFFY,A100,1
AGGIE,A200,1
AGIE,A200,1
AGGY,A200,1
AGUSTA,A223,1
AGUSTINE,A223,0
AGUSTUS,A223,0
APHRA,A160,1
AUBREY,A160,0
AUBREY,A160,1
AUGUSTA,A223,1
AUGUSTINE,A223,0
AUGUSTIN,A223,0
AUGUSTUS,A223,0
AVICE,A120,1
AVELINE,A145,1
AVERELL,A164,0
AVIS,A120,1